num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S008793;20/05/2021;15:15:00;GTA. MARIANO SALVADOR MAELLA / CALL. ISLA DE TABARCA;1;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;"438837,031";"4480857,853";N;NULL
2021S008793;20/05/2021;15:15:00;GTA. MARIANO SALVADOR MAELLA / CALL. ISLA DE TABARCA;1;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;"438837,031";"4480857,853";N;NULL
2021S008794;21/05/2021;15:55:00;"CALL. CARRANZA, 27";27;1;CENTRO;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;"440190,778";"4475657,416";N;NULL
2021S008794;21/05/2021;15:55:00;"CALL. CARRANZA, 27";27;1;CENTRO;Caída;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;"440190,778";"4475657,416";N;NULL
2021S008795;21/05/2021;15:30:00;"AUTOV. A-42, +00500S";+00500S;11;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;"438901,005";"4469547,789";N;NULL
2021S008795;21/05/2021;15:30:00;"AUTOV. A-42, +00500S";+00500S;11;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;"438901,005";"4469547,789";N;NULL
2021S008795;21/05/2021;15:30:00;"AUTOV. A-42, +00500S";+00500S;11;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;"438901,005";"4469547,789";N;NULL
2021S008796;20/05/2021;22:00:00;"CALL. ENRIQUE LARRETA, 3";3;5;CHAMARTÍN;Colisión lateral;Despejado;Todo terreno;Conductor;Desconocido;Desconocido;NULL;NULL;"441822,343";"4479851,397";N;NULL
2021S008796;20/05/2021;22:00:00;"CALL. ENRIQUE LARRETA, 3";3;5;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;"441822,343";"4479851,397";N;NULL
2021S008797;21/05/2021;15:45:00;CALL. CHICLANA / CALL. JIMENA;8;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;De 30 a 34 años;Hombre;2;Ingreso inferior o igual a 24 horas;"437857,361";"4470646,721";N;NULL
2021S008797;21/05/2021;15:45:00;CALL. CHICLANA / CALL. JIMENA;8;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;"437857,361";"4470646,721";N;NULL
2021S008799;21/05/2021;15:05:00;CARRETERA VILLAVERDE A VALLECAS FTE N 295;295;18;VILLA DE VALLECAS;Colisión múltiple;Despejado;Furgoneta;Conductor;Desconocido;Desconocido;NULL;NULL;"446420,022";"4469700,137";N;NULL
2021S008799;21/05/2021;15:05:00;CARRETERA VILLAVERDE A VALLECAS FTE N 295;295;18;VILLA DE VALLECAS;Colisión múltiple;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;"446420,022";"4469700,137";N;NULL
2021S008799;21/05/2021;15:05:00;CARRETERA VILLAVERDE A VALLECAS FTE N 295;295;18;VILLA DE VALLECAS;Colisión múltiple;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;"446420,022";"4469700,137";N;NULL
2021S008803;20/05/2021;20:15:00;"CMNO. VIEJO DE VICALVARO, FRENTE AL Nº 9";9;19;VICÁLVARO;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"447717,809";"4472917,096";N;NULL
